,DataSize,L0Distance,L1Distance,L2Distance,LinfDistance,Status
0,3000.0,[3072.],[11.87997],[0.28357717],[0.02609146],Member
1,3000.0,[3067.],[26.74445],[0.6501327],[0.06574214],Member
2,3000.0,[3072.],[29.541985],[0.6934504],[0.05905509],Member
3,3000.0,[3072.],[11.991547],[0.28911084],[0.0345943],Member
4,3000.0,[3062.],[20.89225],[0.51340324],[0.05272597],Member
5,3000.0,[3072.],[20.081804],[0.47401658],[0.03936583],Member
6,3000.0,[3072.],[10.1579075],[0.2458419],[0.02647209],Member
7,3000.0,[3072.],[17.159237],[0.42074862],[0.05622715],Member
8,3000.0,[3072.],[16.765097],[0.39790517],[0.03967519],Member
9,3000.0,[3072.],[20.576828],[0.5223154],[0.0713829],Member
10,3000.0,[3072.],[30.99823],[0.73008615],[0.06415609],Member
11,3000.0,[3072.],[40.89776],[0.9978903],[0.08353391],Member
12,3000.0,[3072.],[25.940598],[0.6243797],[0.06351236],Member
13,3000.0,[3072.],[31.336235],[0.7505273],[0.07220528],Member
14,3000.0,[3072.],[17.180687],[0.40734434],[0.04048982],Member
15,3000.0,[3071.],[22.790577],[0.55002636],[0.07020545],Member
16,3000.0,[3072.],[17.346369],[0.4243045],[0.04858217],Member
17,3000.0,[3072.],[24.067421],[0.57291317],[0.04838189],Member
18,3000.0,[3072.],[35.22151],[0.83540946],[0.08435187],Member
19,3000.0,[3066.],[23.758842],[0.56973946],[0.04839439],Member
20,3000.0,[3070.],[19.623938],[0.47790155],[0.06019396],Member
21,3000.0,[3072.],[29.477669],[0.7084338],[0.06079665],Member
22,3000.0,[3072.],[30.729116],[0.7438894],[0.06704123],Member
23,3000.0,[3072.],[23.567749],[0.59142923],[0.09003274],Member
24,3000.0,[3071.],[20.537056],[0.49414447],[0.06847458],Member
25,3000.0,[3072.],[13.594488],[0.31579405],[0.02367085],Member
26,3000.0,[3072.],[10.462419],[0.24940594],[0.01928496],Member
27,3000.0,[3071.],[24.228207],[0.5958715],[0.05714041],Member
28,3000.0,[3072.],[17.2724],[0.41671374],[0.03940108],Member
29,3000.0,[3072.],[15.097634],[0.40688264],[0.06183702],Member
30,3000.0,[3072.],[13.919294],[0.33743042],[0.03179413],Member
31,3000.0,[3072.],[40.20713],[0.93454504],[0.0656153],Member
32,3000.0,[3069.],[14.481929],[0.35858485],[0.04275023],Member
33,3000.0,[3072.],[20.789375],[0.5143867],[0.06415261],Member
34,3000.0,[2823.],[22.409267],[0.6184691],[0.06819671],Member
35,3000.0,[3072.],[25.692104],[0.6205909],[0.05616558],Member
36,3000.0,[3072.],[26.579365],[0.64518046],[0.06731504],Member
37,3000.0,[3072.],[16.860687],[0.41234818],[0.04379793],Member
38,3000.0,[3072.],[22.28432],[0.5447981],[0.05565774],Member
39,3000.0,[3071.],[17.053642],[0.407386],[0.0450117],Member
40,3000.0,[3058.],[48.941578],[1.1863301],[0.10456818],Member
41,3000.0,[3072.],[26.799461],[0.6592984],[0.07357924],Member
42,3000.0,[3072.],[21.475393],[0.51566553],[0.05152053],Member
43,3000.0,[3072.],[25.631214],[0.6190939],[0.05725616],Member
44,3000.0,[3072.],[32.38285],[0.80457944],[0.07919651],Member
